plastic_type,pct_PP,pct_LDPE,pct_HDPE,temperature_C,residence_time_min,feedstock_mass_g,reactor_fill_pct,heating_rate_C_min,catalyst,oil_yield_wt%,gas_yield_wt%,char_yield_wt%,reactor_type,source_title,source_doi,confidence,notes
PP,100.0,0.0,0.0,760.0,,,,,none,48.8,49.6,1.6,batch_reactor,Thermal decomposition of polypropylene plastics through vacuum pyrolysis (secondary citation of Demirbas 2004),https://www.sciencedirect.com/science/article/abs/pii/S0360544223011015,0.6,SECONDARY CITATION - verify against original Demirbas 2004; residence time and heating rate not stated in secondary source
HDPE,0.0,0.0,100.0,450.0,180.0,,,20.0,none,65.0,30.0,5.0,batch_quartz_tube,Catalytic Pyrolysis of High-Density Polyethylene: Decomposition Efficiency and Kinetics,10.3390/catal12020140,0.6,"APPROXIMATE - values read from bar chart description in text (~30% gas, ~65% condensable), not an exact reported table; char inferred by difference. Actual reactor temp measured 25C higher than set-point (475C actual for 450C set-point) - set-point value used here for consistency with paper's own labeling"
HDPE,0.0,0.0,100.0,525.0,180.0,,,20.0,none,30.0,70.0,3.5,batch_quartz_tube,Catalytic Pyrolysis of High-Density Polyethylene: Decomposition Efficiency and Kinetics,10.3390/catal12020140,0.6,"APPROXIMATE - values read from bar chart description in text (~70% gas, ~30% condensable); char yield stated as roughly 3-4% across conditions in general text, not per-condition. Actual reactor temp measured 25C higher than set-point"
LDPE,0.0,100.0,0.0,700.0,,,,10.0,none,71.4,28.6,0.0,quartz_tube_flow,Waste-to-Fuels: Pyrolysis of Low-Density Polyethylene Waste in the Presence of H-ZSM-11,10.3390/polym13081198,1.0,"Exact values from text (gas=28.6% stated directly); char confirmed 0% at all tested temps 500-900C, oil derived as 100-gas-char. N2 flow 100 mL/min, 1g feedstock, triplicate avg with 3-6% std dev. Residence time not explicitly stated (continuous flow quartz tube reactor)"
LDPE,0.0,100.0,0.0,700.0,,,,10.0,H-ZSM-11_1wt%,19.2,80.8,0.0,quartz_tube_flow,Waste-to-Fuels: Pyrolysis of Low-Density Polyethylene Waste in the Presence of H-ZSM-11,10.3390/polym13081198,1.0,Exact values from text (gas=80.8% stated directly); char confirmed 0%. Catalyst loading 1wt% of feedstock (10mg H-ZSM-11 per 1g LDPE)
mixed,,,,500.0,,,,10.0,none,75.8,14.2,10.0,semi_batch,"Pyrolysis of polypropylene plastic waste into carbonaceous char (secondary citation of Singh, Ruj et al. 2019)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9620816/,0.6,"SECONDARY CITATION - verify against original Singh et al. 2019; mixed HDPE/PP/PET/PS composition, exact ratios not specified in secondary source. Useful as isolated heating-rate comparison pair with next row (same temp, same reactor, only heating rate varies)"
mixed,,,,500.0,,,,20.0,none,81.0,10.5,8.5,semi_batch,"Pyrolysis of polypropylene plastic waste into carbonaceous char (secondary citation of Singh, Ruj et al. 2019)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9620816/,0.6,"SECONDARY CITATION - verify against original Singh et al. 2019; a second review (Sharma/ScienceDirect) cites this same study's oil yield as 82% rather than 81% - minor rounding discrepancy between secondary sources, worth resolving against primary"
HDPE,0.0,0.0,100.0,450.0,,,,,none,0.0,74.0,26.0,batch_heat_pipe,An experimental analysis of diesel fuel produced from HDPE waste using thermal and catalytic pyrolysis with passive heat pipe cooling system,https://www.sciencedirect.com/science/article/abs/pii/S2451904921000792,1.0,"EXACT values, striking edge case: zero liquid oil yield at this temperature/reactor config, all product is gas+char. Useful boundary condition for model"
HDPE,0.0,0.0,100.0,500.0,,,,,none,73.9,23.1,3.0,batch_heat_pipe,An experimental analysis of diesel fuel produced from HDPE waste using thermal and catalytic pyrolysis with passive heat pipe cooling system,https://www.sciencedirect.com/science/article/abs/pii/S2451904921000792,1.0,"Temperature attribution INFERRED - paper states this is the 'optimal' thermal result and separately states optimal reactor temp was 500C, but does not explicitly pair the two sentences. Verify against full paper before treating as certain"
HDPE,0.0,0.0,100.0,500.0,,,,,catalyst_unspecified,88.8,9.9,1.3,batch_heat_pipe,An experimental analysis of diesel fuel produced from HDPE waste using thermal and catalytic pyrolysis with passive heat pipe cooling system,https://www.sciencedirect.com/science/article/abs/pii/S2451904921000792,1.0,Same caveat as above on temperature attribution; catalyst type not specified in available excerpt; char calculated by difference
HDPE,0.0,0.0,100.0,400.0,,,,,none,80.88,17.24,1.88,unspecified,"The influence of plastic pyrolysis oil on fuel lubricity and diesel engine performance (compiled review table, citing ref [5])",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10964204/,0.6,SECONDARY CITATION via compiled review table - primary source [5] not independently verified. Note: same ref [5] also cited for the existing PP 300C row - may be the Ahmad et al. 2014 study covering both plastics
HDPE,0.0,0.0,100.0,650.0,,,,,silica,68.5,31.5,,unspecified,"The influence of plastic pyrolysis oil on fuel lubricity and diesel engine performance (compiled review table, citing ref [12])",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10964204/,0.6,SECONDARY CITATION - primary source [12] not independently verified; char/ash not reported in compiled table
LDPE,0.0,100.0,0.0,500.0,,,,,zeolite_ZSM-5,95.0,5.0,,unspecified,"The influence of plastic pyrolysis oil on fuel lubricity and diesel engine performance (compiled review table, citing ref [14])",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10964204/,0.6,SECONDARY CITATION - primary source [14] not independently verified; char/ash not reported
LDPE,0.0,100.0,0.0,550.0,,,,,none,93.1,14.6,,unspecified,"The influence of plastic pyrolysis oil on fuel lubricity and diesel engine performance (compiled review table, citing ref [13])",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10964204/,0.3,"WARNING: liquid+gas = 107.7%, exceeds 100% - likely rounding/typo error in the compiled source table. Included for completeness but flagged as unreliable; exclude or correct before training if not resolved against ref [13] primary source | Verification attempted: candidate primary source (Williams & Williams fluidised-bed HDPE study) ruled out - covers 650-850C, not 550C, so does not match. True primary source for ref [13] still unidentified."
PP,100.0,0.0,0.0,500.0,,,,,none,82.12,17.88,,unspecified,"The influence of plastic pyrolysis oil on fuel lubricity and diesel engine performance (compiled review table, citing ref [16])",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10964204/,0.6,"SECONDARY CITATION - primary source [16] not independently verified; new PP temperature point, fills gap between existing 380C and 760C rows"
PP,100.0,0.0,0.0,740.0,,,,,none,48.8,49.6,1.6,unspecified,"The influence of plastic pyrolysis oil on fuel lubricity and diesel engine performance (compiled review table, citing ref [15])",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10964204/,1.0,CROSS-VALIDATION NOTE: near-identical to existing Demirbas 2004 row (760C: 48.8/49.6/1.6) already in dataset - likely same underlying primary study cited by both secondary sources with a 20C discrepancy in reported temperature. Consider this a duplicate/confirmation rather than a new independent data point
PP,100.0,0.0,0.0,500.0,,,,6.0,none,82.0,,,furnace_exhaust,Pyrolysis of common plastics and their mixtures to produce valuable petroleum-like products (secondary citation of Fakhr Hoseini and Dastanian 2013),https://www.sciencedirect.com/science/article/abs/pii/S0141391021002895,0.6,"SECONDARY CITATION - verify against original 2013 study. Oil yield only (lowest of 5 tested heating rates 6-14C/min, this was the highest-yield condition); gas/char not reported in secondary source. Fills PP heating-rate gap"
HDPE,0.0,0.0,100.0,500.0,20.0,,,10.0,none,95.0,,,fixed_bed,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Al-Salem et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION - verify against Al-Salem et al. primary source. Explicit residence time (20 min) and heating rate (10C/min) both stated - fills two of our biggest data gaps at once. Described as 'no residue' i.e. char~0, gas not quantified"
HDPE,0.0,0.0,100.0,500.0,20.0,,,10.0,Y-zeolite,85.0,,,fixed_bed,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Al-Salem et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION - catalytic variant of previous row, same reactor/residence/heating rate; gas/char not reported"
HDPE,0.0,0.0,100.0,500.0,,,,20.0,none,79.0,25.0,,semi_batch,Pyrolysis of common plastics and their mixtures to produce valuable petroleum-like products (secondary citation of Kumar and Singh 2011),https://www.sciencedirect.com/science/article/abs/pii/S0141391021002895,0.6,SECONDARY CITATION - verify against Kumar and Singh 2011 primary source. Yields sum to 104% (minor rounding in secondary source); heating rate 20C/min explicit
PP,100.0,0.0,0.0,500.0,,,,,sulphated_zirconium,82.5,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of ref [81]),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION - primary ref [81] not independently verified. Part of a same-study 4-way comparison (PP/LDPE/HDPE/mixed) under identical catalyst/temp - genuinely comparable across plastic types, high value despite secondary status. Oil yield only, gas/char not reported"
LDPE,0.0,100.0,0.0,500.0,,,,,sulphated_zirconium,76.6,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of ref [81]),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION - see paired PP/HDPE/mixed rows, same source study, same conditions"
HDPE,0.0,0.0,100.0,500.0,,,,,sulphated_zirconium,78.9,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of ref [81]),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION - see paired PP/LDPE/mixed rows, same source study, same conditions"
mixed,,,,500.0,,,,,sulphated_zirconium,77.2,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of ref [81]),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,SECONDARY CITATION - mixed-plastic composition not specified in secondary source; paired with PP/LDPE/HDPE rows from same study/conditions
mixed,,,,250.0,300.0,,,,none,88.5,9.47,2.03,batch_RSM_study,Plastic Waste Pyrolysis Optimization to Produce Fuel,https://www.e3s-conferences.org/articles/e3sconf/pdf/2019/51/e3sconf_icenis2019_13005.pdf,1.0,"Exact complete triple, explicit residence time (300 min). Composition: PET 22%, LDPE 12%, HDPE 16%, PP 31%, PS 13%, other 6% - includes PET/PS outside core polyolefin scope, representative of real MSW mix. Unusually low temperature for pyrolysis (250C) - worth noting this is at the low end of the process window, closer to slow/liquefaction-adjacent conditions"
LDPE,0.0,100.0,0.0,475.0,90.0,,,,zeolite_10:1_feed_ratio,42.0,50.0,8.0,bench_scale_batch,Conversion of plastic waste into fuel oil using zeolite catalysts in a bench-scale pyrolysis reactor,https://pmc.ncbi.nlm.nih.gov/articles/PMC8982165/,1.0,"Clean closed mass balance (sums to exactly 100). Explicit residence time (90 min) - fills a thin data column. CAVEAT: study reports operating range as 450-500C, not a single pinned temperature for this specific result - used range midpoint (475C) as a placeholder. Treat temperature as approximate despite oil/gas/char being exact."
HDPE,0.0,0.0,100.0,300.0,,,,,none,88.39,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
HDPE,0.0,0.0,100.0,400.0,,,,,none,87.87,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
HDPE,0.0,0.0,100.0,500.0,,,,,none,87.62,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
HDPE,0.0,0.0,100.0,600.0,,,,,none,87.55,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
HDPE,0.0,0.0,100.0,700.0,,,,,none,83.86,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
LDPE,0.0,100.0,0.0,300.0,,,,,none,78.39,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
LDPE,0.0,100.0,0.0,400.0,,,,,none,76.58,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
LDPE,0.0,100.0,0.0,500.0,,,,,none,69.19,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
LDPE,0.0,100.0,0.0,600.0,,,,,none,73.2,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
LDPE,0.0,100.0,0.0,700.0,,,,,none,72.85,,,unspecified,Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,0.6,"SECONDARY CITATION of Sogancioglu et al. (via Gebre 2021 review) - primary study not independently verified. Part of a systematic 5-temperature series (300-700C) covering both HDPE and LDPE from the same study - genuinely comparable across the series. Oil yield only, gas/char split not reported in secondary source. Unwashed feedstock."
PP,100.0,0.0,0.0,475.0,60.0,100.0,50.0,,none,56.43,36.69,6.88,fixed_bed_batch_RSM,"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,1.0,"PRIMARY SOURCE, exact values from full Box-Behnken RSM design Table 1 (run 1/16). Liquid yield and solid residue directly measured/reported; gas yield calculated by mass balance closure (100-liquid-solid), not directly reported but a standard 3-way pyrolysis split. IMPORTANT CAVEAT: this study found feedstock MASS (100g, 50% reactor fill) had a LARGER effect on liquid yield than temperature or time - mass is not captured in our schema, so temperature/time alone will not fully explain variance across these 16 rows. Consider feedstock mass/reactor fill fraction as a candidate feature if modeling this reactor's behavior specifically."
PP,100.0,0.0,0.0,500.0,45.0,100.0,50.0,,none,41.85,56.22,1.93,fixed_bed_batch_RSM,"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,1.0,"PRIMARY SOURCE, exact values from full Box-Behnken RSM design Table 1 (run 2/16). Liquid yield and solid residue directly measured/reported; gas yield calculated by mass balance closure (100-liquid-solid), not directly reported but a standard 3-way pyrolysis split. IMPORTANT CAVEAT: this study found feedstock MASS (100g, 50% reactor fill) had a LARGER effect on liquid yield than temperature or time - mass is not captured in our schema, so temperature/time alone will not fully explain variance across these 16 rows. Consider feedstock mass/reactor fill fraction as a candidate feature if modeling this reactor's behavior specifically."
PP,100.0,0.0,0.0,450.0,60.0,50.0,25.0,,none,62.82,13.92,23.26,fixed_bed_batch_RSM,"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,1.0,"PRIMARY SOURCE, exact values from full Box-Behnken RSM design Table 1 (run 3/16). Liquid yield and solid residue directly measured/reported; gas yield calculated by mass balance closure (100-liquid-solid), not directly reported but a standard 3-way pyrolysis split. IMPORTANT CAVEAT: this study found feedstock MASS (50g, 25% reactor fill) had a LARGER effect on liquid yield than temperature or time - mass is not captured in our schema, so temperature/time alone will not fully explain variance across these 16 rows. Consider feedstock mass/reactor fill fraction as a candidate feature if modeling this reactor's behavior specifically."
PP,100.0,0.0,0.0,450.0,60.0,150.0,75.0,,none,46.02,33.3,20.68,fixed_bed_batch_RSM,"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,1.0,"PRIMARY SOURCE, exact values from full Box-Behnken RSM design Table 1 (run 4/16). Liquid yield and solid residue directly measured/reported; gas yield calculated by mass balance closure (100-liquid-solid), not directly reported but a standard 3-way pyrolysis split. IMPORTANT CAVEAT: this study found feedstock MASS (150g, 75% reactor fill) had a LARGER effect on liquid yield than temperature or time - mass is not captured in our schema, so temperature/time alone will not fully explain variance across these 16 rows. Consider feedstock mass/reactor fill fraction as a candidate feature if modeling this reactor's behavior specifically."
PP,100.0,0.0,0.0,500.0,60.0,150.0,75.0,,none,40.73,57.31,1.96,fixed_bed_batch_RSM,"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,1.0,"PRIMARY SOURCE, exact values from full Box-Behnken RSM design Table 1 (run 5/16). Liquid yield and solid residue directly measured/reported; gas yield calculated by mass balance closure (100-liquid-solid), not directly reported but a standard 3-way pyrolysis split. IMPORTANT CAVEAT: this study found feedstock MASS (150g, 75% reactor fill) had a LARGER effect on liquid yield than temperature or time - mass is not captured in our schema, so temperature/time alone will not fully explain variance across these 16 rows. Consider feedstock mass/reactor fill fraction as a candidate feature if modeling this reactor's behavior specifically."
PP,100.0,0.0,0.0,475.0,75.0,50.0,25.0,,none,66.54,29.7,3.76,fixed_bed_batch_RSM,"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,1.0,"PRIMARY SOURCE, exact values from full Box-Behnken RSM design Table 1 (run 6/16). Liquid yield and solid residue directly measured/reported; gas yield calculated by mass balance closure (100-liquid-solid), not directly reported but a standard 3-way pyrolysis split. IMPORTANT CAVEAT: this study found feedstock MASS (50g, 25% reactor fill) had a LARGER effect on liquid yield than temperature or time - mass is not captured in our schema, so temperature/time alone will not fully explain variance across these 16 rows. Consider feedstock mass/reactor fill fraction as a candidate feature if modeling this reactor's behavior specifically."
PP,100.0,0.0,0.0,475.0,75.0,150.0,75.0,,none,47.17,51.02,1.81,fixed_bed_batch_RSM,"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,1.0,"PRIMARY SOURCE, exact values from full Box-Behnken RSM design Table 1 (run 7/16). Liquid yield and solid residue directly measured/reported; gas yield calculated by mass balance closure (100-liquid-solid), not directly reported but a standard 3-way pyrolysis split. IMPORTANT CAVEAT: this study found feedstock MASS (150g, 75% reactor fill) had a LARGER effect on liquid yield than temperature or time - mass is not captured in our schema, so temperature/time alone will not fully explain variance across these 16 rows. Consider feedstock mass/reactor fill fraction as a candidate feature if modeling this reactor's behavior specifically."
PP,100.0,0.0,0.0,475.0,60.0,100.0,50.0,,none,58.95,34.96,6.09,fixed_bed_batch_RSM,"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,1.0,"PRIMARY SOURCE, exact values from full Box-Behnken RSM design Table 1 (run 8/16). Liquid yield and solid residue directly measured/reported; gas yield calculated by mass balance closure (100-liquid-solid), not directly reported but a standard 3-way pyrolysis split. IMPORTANT CAVEAT: this study found feedstock MASS (100g, 50% reactor fill) had a LARGER effect on liquid yield than temperature or time - mass is not captured in our schema, so temperature/time alone will not fully explain variance across these 16 rows. Consider feedstock mass/reactor fill fraction as a candidate feature if modeling this reactor's behavior specifically."
PP,100.0,0.0,0.0,475.0,45.0,50.0,25.0,,none,46.8,16.92,36.28,fixed_bed_batch_RSM,"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,1.0,"PRIMARY SOURCE, exact values from full Box-Behnken RSM design Table 1 (run 9/16). Liquid yield and solid residue directly measured/reported; gas yield calculated by mass balance closure (100-liquid-solid), not directly reported but a standard 3-way pyrolysis split. IMPORTANT CAVEAT: this study found feedstock MASS (50g, 25% reactor fill) had a LARGER effect on liquid yield than temperature or time - mass is not captured in our schema, so temperature/time alone will not fully explain variance across these 16 rows. Consider feedstock mass/reactor fill fraction as a candidate feature if modeling this reactor's behavior specifically."
